C0,C1,C2,Kedekatan,Hasil
0.32,0,0.46,0,1
0.17,0.15,0.61,0.15,1
0.78,0.46,0,0,2
0.2,0.52,0.98,0.2,0
0.08,0.4,0.86,0.08,0
0.13,0.45,0.91,0.13,0
0.41,0.09,0.37,0.09,1
0.03,0.35,0.81,0.03,0
0.2,0.12,0.58,0.12,1
0.04,0.36,0.82,0.04,0
0.14,0.46,0.92,0.14,0
0.19,0.51,0.97,0.19,0
0.41,0.09,0.37,0.09,1
0.16,0.48,0.94,0.16,0
0.09,0.41,0.87,0.09,0
0.1,0.22,0.68,0.1,0
0.59,0.27,0.19,0.19,2
0.2,0.52,0.98,0.2,0
0.61,0.29,0.17,0.17,2
0.2,0.52,0.98,0.2,0
0.76,0.44,0.02,0.02,2
0.21,0.11,0.57,0.11,1
0.76,0.44,0.02,0.02,2
0.36,0.04,0.42,0.04,1
0.5,0.18,0.28,0.18,1
0.27,0.59,1.05,0.27,0
0,0.32,0.78,0,0
0.18,0.5,0.96,0.18,0
0.02,0.3,0.76,0.02,0
0.18,0.5,0.96,0.18,0
0.04,0.28,0.74,0.04,0
0.15,0.17,0.63,0.15,0
0.24,0.56,1.02,0.24,0
0.45,0.13,0.33,0.13,1
0.31,0.01,0.47,0.01,1
0.02,0.34,0.8,0.02,0
0.27,0.05,0.51,0.05,1
0.21,0.53,0.99,0.21,0
0.32,0,0.46,0,1
0.71,0.39,0.07,0.07,2
0.04,0.28,0.74,0.04,0
0.42,0.1,0.36,0.1,1
0.17,0.49,0.95,0.17,0
0.48,0.16,0.3,0.16,1
0.01,0.31,0.77,0.01,0
0.11,0.43,0.89,0.11,0
0.34,0.02,0.44,0.02,1
0.29,0.61,1.07,0.29,0
0.6,0.28,0.18,0.18,2
0.3,0.62,1.08,0.3,0
0.44,0.12,0.34,0.12,1
0.01,0.33,0.79,0.01,0
0.5,0.18,0.28,0.18,1
0.75,0.43,0.03,0.03,2
0.04,0.36,0.82,0.04,0
0.32,0,0.46,0,1
0.34,0.02,0.44,0.02,1
0.32,0,0.46,0,1
0.06,0.38,0.84,0.06,0
0.74,0.42,0.04,0.04,2
0.18,0.14,0.6,0.14,1
0.62,0.3,0.16,0.16,2
0.46,0.14,0.32,0.14,1
0.02,0.3,0.76,0.02,0
0.59,0.27,0.19,0.19,2
0.13,0.19,0.65,0.13,0
0.66,0.34,0.12,0.12,2
0.33,0.01,0.45,0.01,1
0.66,0.34,0.12,0.12,2
0.45,0.13,0.33,0.13,1
0.49,0.17,0.29,0.17,1
0.24,0.08,0.54,0.08,1
0.74,0.42,0.04,0.04,2
0.4,0.08,0.38,0.08,1
0.16,0.16,0.62,0.16,1
0.36,0.04,0.42,0.04,1
0.29,0.61,1.07,0.29,0
0.02,0.3,0.76,0.02,0
0.42,0.1,0.36,0.1,1
0.01,0.31,0.77,0.01,0
0.37,0.05,0.41,0.05,1
0.16,0.16,0.62,0.16,1
0.16,0.48,0.94,0.16,0
0.02,0.3,0.76,0.02,0
0.32,0,0.46,0,1
0.34,0.02,0.44,0.02,1
0.32,0,0.46,0,1
0.41,0.09,0.37,0.09,1
0.41,0.09,0.37,0.09,1
0.16,0.16,0.62,0.16,1
0.68,0.36,0.1,0.1,2
0.09,0.23,0.69,0.09,0
0.17,0.15,0.61,0.15,1
0.67,0.35,0.11,0.11,2
0.58,0.26,0.2,0.2,2
0.46,0.14,0.32,0.14,1
0.2,0.52,0.98,0.2,0
0.7,0.38,0.08,0.08,2
0.48,0.16,0.3,0.16,1
0.79,0.47,0.01,0.01,2
