no,jurusan,nama_mahasiwa,ipk,cluster
50,informatika,mahasiswa 50,2.81,0
48,informatika,mahasiswa 48,2.82,0
77,informatika,mahasiswa 77,2.82,0
26,informatika,mahasiswa 26,2.84,0
33,informatika,mahasiswa 33,2.87,0
38,informatika,mahasiswa 38,2.90,0
4,sistem informasi,mahasiswa 4,2.91,0
18,sistem informasi,mahasiswa 18,2.91,0
20,informatika,mahasiswa 20,2.91,0
97,sistem informasi,mahasiswa 97,2.91,0
12,sistem informasi,mahasiswa 12,2.92,0
28,informatika,mahasiswa 28,2.93,0
30,sistem informasi,mahasiswa 30,2.93,0
43,sistem informasi,mahasiswa 43,2.94,0
14,informatika,mahasiswa 14,2.95,0
83,sistem informasi,mahasiswa 83,2.95,0
11,informatika,mahasiswa 11,2.97,0
6,informatika,mahasiswa 6,2.98,0
46,informatika,mahasiswa 46,3.00,0
15,sistem informasi,mahasiswa 15,3.02,0
5,informatika,mahasiswa 5,3.03,0
59,sistem informasi,mahasiswa 59,3.05,0
10,informatika,mahasiswa 10,3.07,0
55,informatika,mahasiswa 55,3.07,0
8,informatika,mahasiswa 8,3.08,0
36,informatika,mahasiswa 36,3.09,0
52,informatika,mahasiswa 52,3.10,0
27,informatika,mahasiswa 27,3.11,0
80,sistem informasi,mahasiswa 80,3.12,0
45,informatika,mahasiswa 45,3.12,0
84,informatika,mahasiswa 84,3.13,0
29,informatika,mahasiswa 29,3.13,0
64,sistem informasi,mahasiswa 64,3.13,0
78,sistem informasi,mahasiswa 78,3.13,0
31,informatika,mahasiswa 31,3.15,0
41,sistem informasi,mahasiswa 41,3.15,0
92,informatika,mahasiswa 92,3.20,0
16,sistem informasi,mahasiswa 16,3.21,0
66,sistem informasi,mahasiswa 66,3.24,0
32,sistem informasi,mahasiswa 32,3.26,0
75,sistem informasi,mahasiswa 75,3.27,1
82,informatika,mahasiswa 82,3.27,1
90,sistem informasi,mahasiswa 90,3.27,1
2,informatika,mahasiswa 2,3.28,1
93,sistem informasi,mahasiswa 93,3.28,1
61,informatika,mahasiswa 61,3.29,1
9,informatika,mahasiswa 9,3.31,1
22,informatika,mahasiswa 22,3.32,1
72,informatika,mahasiswa 72,3.35,1
37,sistem informasi,mahasiswa 37,3.38,1
35,informatika,mahasiswa 35,3.42,1
1,sistem informasi,mahasiswa 1,3.43,1
39,informatika,mahasiswa 39,3.43,1
56,sistem informasi,mahasiswa 56,3.43,1
58,sistem informasi,mahasiswa 58,3.43,1
85,informatika,mahasiswa 85,3.43,1
87,informatika,mahasiswa 87,3.43,1
68,sistem informasi,mahasiswa 68,3.44,1
47,informatika,mahasiswa 47,3.45,1
57,informatika,mahasiswa 57,3.45,1
86,informatika,mahasiswa 86,3.45,1
24,sistem informasi,mahasiswa 24,3.47,1
76,informatika,mahasiswa 76,3.47,1
81,sistem informasi,mahasiswa 81,3.48,1
74,sistem informasi,mahasiswa 74,3.51,1
7,informatika,mahasiswa 7,3.52,1
13,sistem informasi,mahasiswa 13,3.52,1
88,informatika,mahasiswa 88,3.52,1
89,informatika,mahasiswa 89,3.52,1
42,informatika,mahasiswa 42,3.53,1
79,informatika,mahasiswa 79,3.53,1
51,sistem informasi,mahasiswa 51,3.55,1
34,sistem informasi,mahasiswa 34,3.56,1
70,sistem informasi,mahasiswa 70,3.56,1
63,informatika,mahasiswa 63,3.57,1
96,sistem informasi,mahasiswa 96,3.57,1
44,informatika,mahasiswa 44,3.59,1
99,informatika,mahasiswa 99,3.59,1
71,informatika,mahasiswa 71,3.60,1
25,sistem informasi,mahasiswa 25,3.61,1
53,informatika,mahasiswa 53,3.61,1
95,informatika,mahasiswa 95,3.69,2
65,informatika,mahasiswa 65,3.70,2
17,sistem informasi,mahasiswa 17,3.70,2
49,sistem informasi,mahasiswa 49,3.71,2
19,sistem informasi,mahasiswa 19,3.72,2
62,sistem informasi,mahasiswa 62,3.73,2
67,sistem informasi,mahasiswa 67,3.77,2
69,sistem informasi,mahasiswa 69,3.77,2
94,sistem informasi,mahasiswa 94,3.78,2
91,informatika,mahasiswa 91,3.79,2
98,informatika,mahasiswa 98,3.81,2
40,sistem informasi,mahasiswa 40,3.82,2
60,informatika,mahasiswa 60,3.85,2
73,sistem informasi,mahasiswa 73,3.85,2
54,informatika,mahasiswa 54,3.86,2
21,sistem informasi,mahasiswa 21,3.87,2
23,informatika,mahasiswa 23,3.87,2
3,informatika,mahasiswa 3,3.89,2
100,sistem informasi,mahasiswa 100,3.90,2
